scheme;table;updating_date
PENTAHODW;ACAD_TALU_ACTAESTPRO;14/12/2015 1:00
PENTAHODW;ACAD_TALU_ANYDETALL;14/12/2015 1:00
PENTAHODW;ACAD_TALU_ARC;14/12/2015 1:00
PENTAHODW;ACAD_TALU_ASSOLIMENT;14/12/2015 1:00
PENTAHODW;ACAD_TALU_BRANCA;14/12/2015 1:00
PENTAHODW;ACAD_TALU_CAUBLOQUEO;14/12/2015 1:00
PENTAHODW;ACAD_TALU_CENTRE;14/12/2015 1:00
PENTAHODW;ACAD_TALU_CPSEXPCAUBLO;14/12/2015 1:00
PENTAHODW;ACAD_TALU_DETASSIGNATURA;14/12/2015 1:00
PENTAHODW;ACAD_TALU_ESTUDI;14/12/2015 1:00
PENTAHODW;ACAD_TALU_GRPACTA;14/12/2015 1:00
PENTAHODW;ACAD_TALU_IMPARTICIO;14/12/2015 1:00
PENTAHODW;ACAD_TALU_LINACTESTPRO;14/12/2015 1:00
PENTAHODW;ACAD_TALU_LINCONVALIDACIO;14/12/2015 1:00
PENTAHODW;ACAD_TALU_NODE;14/12/2015 1:00
PENTAHODW;ACAD_TALU_OTORGA;14/12/2015 1:00
PENTAHODW;ACAD_TALU_PETCONVALIDACIO;14/12/2015 1:00
PENTAHODW;ACAD_TALU_PLAESTUDI;14/12/2015 1:00
PENTAHODW;ACAD_TALU_PLAESTUDI1;14/12/2015 1:00
PENTAHODW;ACAD_TALU_PLAESTUDI3;14/12/2015 1:00
PENTAHODW;ACAD_TALU_PLAESTUDI4;14/12/2015 1:00
PENTAHODW;ACAD_TALU_PLAESTUDI6;14/12/2015 1:00
PENTAHODW;ACAD_TALU_TITOL;14/12/2015 1:00
PENTAHODW;ACAD_TAPP_DETASSIGNATURA;14/12/2015 1:00
PENTAHODW;ACAD_VALU_ALUMNE;14/12/2015 1:00
PENTAHODW;ACAD_VALU_REQCICLE;14/12/2015 1:00
PENTAHODW;OTRI_CONTRATOS;18/12/2015 1:00
PENTAHODW;OTRI_CONTRATOS__EI;18/12/2015 1:00
PENTAHODW;OTRI_CONTRATOS__SEGUIMIENTOS;18/12/2015 1:00
PENTAHODW;OTRI_CONVOCATORIAS;18/12/2015 1:00
PENTAHODW;OTRI_DEPARTAMENTOS;18/12/2015 1:00
PENTAHODW;OTRI_ENTIDADES;18/12/2015 1:00
PENTAHODW;OTRI_GID_MIEMBROS;18/12/2015 1:00
PENTAHODW;OTRI_GRUPOS_ID;18/12/2015 1:00
PENTAHODW;OTRI_PATENTES;18/12/2015 1:00
PENTAHODW;OTRI_PATENTES_PERSONAL;18/12/2015 1:00
PENTAHODW;OTRI_PC;18/12/2015 1:00
PENTAHODW;OTRI_PC_REVISTAS;18/12/2015 1:00
PENTAHODW;OTRI_PC_SEXENIOS;18/12/2015 1:00
PENTAHODW;OTRI_PC_TESIS;18/12/2015 1:00
PENTAHODW;OTRI_PERSONAL;18/12/2015 1:00
PENTAHODW;OTRI_PROYECTOS;18/12/2015 1:00
PENTAHODW;OTRI_PROYECTOS__EI;18/12/2015 1:00
PENTAHODW;OTRI_SOLICITUDES_AYUDAS;18/12/2015 1:00
PENTAHODW;OTRI_TIPOS_AYUDAS;17/12/2015 1:00
PENTAHODW;OTRI_TIPOS_BECAS;17/12/2015 1:00
PENTAHODW;OTRI_TIPOS_CONTRATOS;17/12/2015 1:00
