SCHEME;TABLE;DEPENDENT_SCHEME;DEPENDENT_TABLE
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;ACAD_TALU_CPSEXPCAUBLO
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;ACAD_TALU_EXPEDIENT
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;ACAD_TALU_LINCONVALIDACIO
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;ACAD_TALU_LINMATRICULA
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;ACAD_TALU_TRASLLAT
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;ACAD_VALU_ALUMNE
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;DURM_PREU_NOTAS
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;DURM_SOLI_TITU_PERFIL_PRE
PENTAHODWDES;DWD_ALUMNO;PENTAHODWDES;DWD_DURM_ALUMNO
PENTAHODWDES;DWD_ALUMNO;PENTAHODWDES;DWD_ESTUDIOS
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;VISTAS_MATERIALIZADAS_INFO
PENTAHODWDES;DWD_ALUMNO;PENTAHODW;ACAD_TALU_ASSOLIMENT
PENTAHODWDES;DWD_ESTUDIOS;PENTAHODW;ACAD_TALU_EXPEDIENT
PENTAHODWDES;DWD_ESTUDIOS;PENTAHODW;ACAD_TALU_CPSEXPCAUBLO

